pH,Temp,Voltage,QC
2.15,43.15,19.74,0
2.08,40.13,18.01,0
2.18,43.46,18.73,0
1.99,41.72,16.75,0
1.85,43.65,18.02,0
1.94,42.82,19.27,0
1.94,43.17,17.4,0
2.06,44.16,18.69,0
1.97,41.79,15.33,0
1.94,42.62,17.44,0
2.14,40.61,18.35,0
1.85,42.98,19.24,0
2.16,43.76,16.55,0
1.88,41.33,18.34,0
1.99,41.47,16.04,0
1.88,43.75,17.38,0
2.03,40.82,15.08,0
2.12,42.94,18.67,0
1.96,41.02,19.39,0
2.06,44.11,17.04,0
2.07,41.14,18.47,0
2,42.5,16.97,0
1.95,40.76,16.61,0
2.11,42.03,15.16,0
2.06,44.58,15.24,0
2.08,40.43,15.42,0
1.81,40.43,19.19,0
2.12,41.71,17.29,0
1.94,44.59,19.99,0
2.08,44.94,17.92,0
2.17,43.44,19.6,0
1.85,42.18,18.06,0
1.92,41.69,17.87,0
2.14,42.69,16.07,0
1.82,40.61,19.61,0
1.86,40.73,18.98,0
1.99,41.09,15.16,0
1.92,43.66,16.36,0
1.88,44.04,15.78,0
2.02,43.09,12.77,0
1.95,43.02,16.81,0
1.9,40.32,19.07,0
2.1,44.27,18.99,0
2.12,40.43,19.27,0
2.04,40.94,15.93,0
1.9,43.81,17.9,0
2,40.64,19.07,0
1.99,42.29,15.59,0
2.11,43.7,18.13,0
1.99,42.77,16.3,0
1.91,41.73,16.77,0
2,40.61,18.6,0
2.01,43.96,18.98,0
1.98,42.61,15.31,0
2.16,41.62,17.75,0
2.15,44.22,17.11,0
1.96,42.85,15.87,0
1.81,41.07,17.57,0
2.14,42.93,15.09,0
1.88,42.21,17.77,0
2.05,43.35,16.26,0
1.99,42.43,15.14,0
2.06,41.64,16.83,0
1.84,43.23,18.47,0
1.95,41.87,17.15,0
2.05,43.37,15.11,0
1.92,43.23,15.05,0
2.06,42.63,19.47,0
2.02,40.76,16.25,0
1.81,40.8,16.04,0
1.82,44.68,17.64,0
2.14,42.57,16.36,0
2,43.28,15.83,0
2.16,40.11,16.37,0
2.1,41.98,18.39,0
1.84,40.65,15.54,0
1.81,43.29,15.41,0
1.92,42.38,16.09,0
1.98,44.55,16,0
1.89,44.71,16.27,0
2.14,42.99,16.31,0
1.87,40.54,16.1,0
1.97,41,15.35,0
2,44.17,19.76,0
1.87,41.85,15.76,0
2.16,40.64,16.07,0
1.95,41.76,18.73,0
1.85,42.49,15.27,0
1.97,44.05,17.71,0
2.1,43.57,18.79,0
1.95,41.05,16.59,0
2.19,44.95,17.16,0
2.11,43.72,17.61,0
1.82,42.93,16.81,0
1.88,42.64,15.58,0
2.03,40.91,16.4,0
1.87,40.35,15.68,0
2.09,42.01,17.41,0
1.89,43.09,17.11,0
2.06,41.22,16.02,0
2.26,36.94,17.43,0
1.98,43.88,15.38,0
2.16,42.99,15.27,0
1.97,40.8,18.53,0
1.84,41.69,19.33,0
2,42.66,17.58,0
2.16,44.87,17.8,0
2.16,41.41,15.81,0
1.93,42.67,17.67,0
1.87,43.28,17.84,0
2,42.98,17.1,0
1.96,44.7,15.53,0
2.03,44.69,18.91,0
1.82,42.78,16.15,0
2.16,41.88,17.4,0
1.9,43.71,15.71,0
1.83,41.44,15.24,0
1.87,40.83,17.66,0
1.88,44.71,17.4,0
1.97,41.63,18.62,0
1.82,40.53,17.89,0
1.84,41.62,17.04,0
2.11,41.77,16.44,0
1.99,41.41,18.74,0
1.87,42.32,15.52,0
1.87,43.2,15.09,0
2.17,40.72,15.25,0
2.17,42.42,16.2,0
2.11,44.2,18.19,0
1.91,40.79,16.12,0
1.83,43.52,18.03,0
2.16,40.77,15.62,0
1.88,42.62,17.4,0
2.09,42.7,19.96,0
1.97,42.56,17.11,0
2.06,43.08,19.1,0
2.17,41.38,17.58,0
1.97,41.57,17.64,0
1.91,41.36,18.44,0
2.1,40.72,17.16,0
2.03,43.38,16.02,0
2.02,41.55,17.17,0
1.91,41.11,16.28,0
1.92,43.94,16.35,0
2.03,43.14,16.93,0
1.94,42.7,17.62,0
1.93,40.97,16.26,0
2.46,41.09,15.35,0
2.11,44.27,19.61,0
2.46,41.09,15.35,0
1.93,44.56,17.11,0
1.93,42.81,17.57,0
2.15,42.05,19.06,0
2.14,40.47,16.19,0
1.85,42.37,15.57,0
1.94,44.21,19.15,0
1.84,43.39,15.44,0
2.03,41.14,15.46,0
2.15,43.69,15.49,0
1.93,43.4,16.38,0
1.83,44,19.94,0
1.91,42.58,19.1,0
2.03,44.09,17.65,0
1.94,43.95,18.83,0
2.46,41.09,15.35,0
1.98,41.49,15.5,0
2.16,44.45,18.08,0
2.11,41.78,16.85,0
2.03,44.84,19.54,0
2.14,42.83,17.33,0
2.09,40.33,19.67,0
1.94,44.52,18.9,0
2.09,42.85,17.65,0
1.92,43.9,16.57,0
2.05,44.06,19.91,0
1.93,42.15,16.94,0
2.05,42.07,18.98,0
2.15,43.56,16.74,0
2.46,41.09,15.35,0
2.06,43.32,15.33,0
1.81,44.19,17.67,0
2.13,40.06,17.77,0
1.87,41.14,19.21,0
2.01,43.59,16.79,0
1.92,44.06,15.18,0
2.09,44.39,17.44,0
2.04,44.36,17.31,0
1.93,40.19,18.53,0
2.09,42.72,15.15,0
1.88,40.41,17.94,0
1.99,42.52,19.36,0
2.06,42.81,16.63,0
1.94,44.48,17.63,0
1.93,41.77,18.12,0
2.14,43.69,16.51,0
2.07,42.87,15.13,0
1.96,42.63,17.55,0
1.83,40.71,17.16,0
2.17,42.96,18.96,0
2.16,42.19,18.62,0
2.17,43.09,15.86,0
2.02,42.07,16.28,0
2.1,42.79,18.74,0
2.19,42.07,19.82,0
2.08,43.18,17.54,0
1.87,40.87,19.09,0
1.91,42.58,17.99,0
2.02,41.53,16.64,0
2.06,42.15,19.09,0
1.87,44.43,18.79,0
1.89,41.2,19.6,0
1.85,43.86,19.28,0
1.99,42.17,16.79,0
2.08,42.62,17.49,0
2.19,42.65,19.57,0
2.03,42.81,17.03,0
1.83,40.21,19.99,0
1.96,44.91,19.29,0
1.83,44.97,16.11,0
1.94,44.48,18.82,0
2.11,42.61,19.85,0
1.93,42.99,16.79,0
2.04,44.4,19.64,0
1.98,42.68,17.4,0
2.07,41.75,15.02,0
2.16,41.42,15.72,0
1.99,42.13,15.87,0
1.98,40.42,17.23,0
2.14,40.04,19.83,0
2.07,41.79,16.57,0
2.18,43.07,17.76,0
1.87,42.88,19.42,0
2.17,42.79,18.42,0
2.36,41.71,12.05,0
1.84,42.44,15.85,0
2.07,43.81,19.15,0
1.85,41.69,15.19,0
1.88,40.86,18.4,0
1.9,43.55,15.98,0
2.03,42.54,19.21,0
2.08,43.64,15.61,0
1.87,44.04,18.24,0
2.04,42.27,18.44,0
2.14,41.2,16.39,0
2.17,42.23,17.07,0
1.93,44.44,16.75,0
1.99,41.3,17.96,0
1.81,40.84,16.45,0
1.91,44.71,18.3,0
2.04,41.44,17.46,0
1.9,43.02,19.93,0
1.82,42.87,17.67,0
1.98,43.9,18.66,0
1.92,42.62,19.29,0
2.18,41.08,17.06,0
1.93,42.08,16.05,0
1.82,41.01,17,0
1.97,43.23,18.1,0
1.91,42.64,16.4,0
1.89,44.75,17.95,0
2.06,43.9,15.81,0
2.08,43.24,16.67,0
1.83,43.52,18.7,0
1.99,42.48,17.19,0
1.98,44.92,15.01,0
1.84,43.69,19.39,0
2.18,41.79,17.19,0
1.96,40.45,19.7,0
2.1,44.18,17.6,0
2.09,43.35,17.98,0
1.99,41.32,18.68,0
2.01,41.51,19.38,0
1.92,44.16,15.78,0
1.85,44.05,15.42,0
2.15,44.46,15.5,0
1.91,40.34,19.12,0
2.18,40.78,17.51,0
2.12,44.93,18.54,0
1.83,43.94,15.1,0
2.03,42.81,18.27,0
2.01,43.01,17.59,0
2.01,40.18,16.93,0
2.05,43.99,17.75,0
2.03,42.54,17.49,0
2.16,41.85,17.33,0
1.9,42.5,17.34,0
2.15,41.22,18.04,0
1.91,42.48,16.23,0
2.04,42.01,19.84,0
2.1,44.86,19.99,0
2.15,41.17,16.6,0
1.89,40.97,19.97,0
1.9,42.07,17.75,0
2,43.09,17.58,0
1.83,44.84,16.59,0
2.07,36.53,17.46,0
2.05,41.18,17.3,0
2.19,41.72,18.84,0
1.82,40.46,16.23,0
2.18,43.62,17.36,0
2.16,44.03,15.92,0
2.15,41.37,17.56,0
2.02,41.3,18.91,0
1.94,42.36,15.76,0
1.85,40.93,19.35,0
1.83,41.58,15.61,0
2.08,40.46,18.67,0
2.05,42.16,17.22,0
1.91,44.31,17.2,0
1.96,41.98,17.87,0
2.4,43.72,18.36,0
2.08,41.72,15.56,0
2.07,43.9,17.65,0
1.85,41.15,15.92,0
2.04,41.58,15.35,0
2.02,44.62,16.22,0
2.05,44.65,19.16,0
1.89,44.76,19.38,0
1.99,40.99,18.79,0
2.02,42.07,15.9,0
1.85,43,17.39,0
2.1,42.64,18.55,0
2.06,41.03,19.33,0
2.16,43.23,18.09,0
2.13,41.9,19.69,0
1.87,40.85,15.78,0
1.99,40.14,19.72,0
2.16,43.22,17.93,0
2.05,42.01,19.09,0
2.1,41.64,15.08,0
1.97,42.47,15.4,0
2.03,40.7,19.21,0
1.92,43.84,18.37,0
1.92,43.62,18.22,0
1.95,44.46,17.17,0
1.97,44.96,17.75,0
2.3,44.73,18.32,0
1.89,40.94,18.52,0
2.05,41.44,16.23,0
2,44.2,16.05,0
2.1,40.66,16.78,0
2.12,43.17,19.19,0
1.82,41.76,16.18,0
2.08,43.09,17.16,0
2.13,43.34,18.64,0
2,41.89,16.62,0
2.08,40.08,15.33,0
1.83,43.54,16.33,0
2.1,42.52,16.32,0
2.17,41.41,16.52,0
2.01,43.39,16,0
2.06,43.18,16.59,0
1.98,44.06,18.18,0
1.99,43.43,18.45,0
1.9,42.08,18.16,0
1.91,42.03,17.25,0
1.99,43.04,15.58,0
1.89,44.02,17.43,0
2.09,41.18,17.29,0
1.92,43.73,16.83,0
2.09,42.45,15.21,0
1.91,42.78,17.02,0
2.08,40.9,19.15,0
1.84,42.67,19.98,0
2.09,44.19,16.21,0
1.84,42.23,17.03,0
1.86,43.04,17.66,0
2.16,44.61,18.24,0
2.07,43.8,17.29,0
1.83,42.44,16.96,0
1.94,42.76,18,0
2.1,42.01,17.32,0
1.93,44.46,18.28,0
2,41.47,16.06,0
2.12,43.73,16.97,0
2.13,44.01,15.93,0
2.04,41.41,17.73,0
2.15,41.03,17.69,0
2.06,44.18,17.82,0
1.95,43.45,17.05,0
1.85,44.37,17.4,0
1.9,40.62,15.13,0
1.9,44.22,17.66,0
2.04,41.6,19.98,0
2.05,42.56,16.76,0
2.02,40.92,18.34,0
2,40.56,18.97,0
2.08,40.7,16.67,0
2.12,43.91,18.58,0
2.41,44.99,18.74,0
2.1,40.57,16.3,0
1.93,43.67,15.08,0
2.01,44.02,12.38,0
2.06,43.76,16.4,0
2.12,43.51,15.35,0
1.82,41.95,19.92,0
2.17,41.68,16.08,0
1.86,40.98,18.15,0
1.92,41.22,17.24,0
1.97,42.26,17.26,0
1.83,42.59,15.24,0
1.93,41.78,16.75,0
1.89,44.3,18.88,0
1.88,42.51,17.93,0
2,41.8,16.6,0
2.05,44.49,18.41,0
2.02,43.53,15.3,0
1.99,42.31,19.62,0
2.13,44.06,16.85,0
1.91,42.9,15.93,0
1.83,43.82,19.57,0
2.02,40.23,18.3,0
2.11,43,19.6,0
1.81,43.04,15.95,0
2.03,42.02,17.45,0
1.94,42.29,15.98,0
2.17,42.92,16.67,0
1.85,40.78,16.68,0
2.17,43.83,15.78,0
1.82,41.65,16.05,0
2,41.95,18.21,0
2.13,42.44,18.85,0
2.02,44.94,15.89,0
2.06,42.05,15.43,0
1.85,40.6,17.95,0
1.95,44.83,19.77,0
2.19,42.65,16.89,0
1.97,41.81,17.96,0
1.9,44.22,17.69,0
2.03,44.3,17.17,0
2.04,40.18,16.76,0
2.16,43.86,19.46,0
1.93,42.58,17.95,0
2.16,44.08,16.44,0
2.18,40.8,18.84,0
2.09,42.51,19.42,0
1.99,41.55,18,0
1.87,42.78,16.55,0
2.17,41.73,17.51,0
2.09,42.88,17.56,0
2.08,41.7,17.89,0
2.19,41.45,16.99,0
1.84,41.33,17.22,0
1.87,40.63,16.79,0
1.83,41.1,19.49,0
2.06,41.95,18.18,0
2.13,41.06,18.41,0
1.91,42.38,17.18,0
2.25,40.79,17.58,0
1.91,42.49,19.09,0
1.98,41.72,15.47,0
2.01,42,18.53,0
1.94,41.34,16.83,0
2.18,42.06,15.68,0
2.05,41.89,19.44,0
2.48,44.58,18.99,0
2.17,42.68,19.35,0
2.47,41.84,15.99,0
2.15,40.35,17.52,0
2.17,40.97,18.76,0
2.03,42.42,18.72,0
2.02,41.98,17.38,0
1.88,44.96,16.97,0
1.82,42.25,16.63,0
2.13,42.28,15.63,0
1.84,40.39,19.07,0
1.9,41.4,18.79,0
1.91,43.93,17.99,0
2.01,43.26,17.17,0
2.1,41.42,16.03,0
1.97,43.52,17.59,0
2.15,41.27,16.83,0
2,43.62,16.18,0
1.88,41.32,17.19,0
2.06,41.5,16.47,0
1.89,42.08,15.53,0
1.97,40.62,17.09,0
1.83,44.82,15.37,0
1.96,42.9,18.87,0
1.86,44.22,15.12,0
2.03,40.7,19.98,0
1.89,43.08,19.39,0
2.18,41.65,19.7,0
1.99,44.83,19.72,0
1.99,42.98,18.65,0
2,40.88,17.47,0
2.13,43.55,15.52,0
1.85,41.26,17.43,0
2,42.79,17.84,0
1.9,42.47,15.65,0
2.05,44.91,16.41,0
2.13,41.71,18.6,0
2.19,43.82,17.49,0
1.96,43.89,16.26,0
2.04,40.2,18.81,0
2.13,44.37,18.83,0
1.91,41.02,17.65,0
2.18,41.01,18.6,0
2.02,40.21,16.65,0
2.09,44.49,17.2,0
2.11,43.47,17.48,0
2.1,43.19,18.25,0
1.89,41.84,19.39,0
1.92,42.74,19.43,0
2.17,40.59,17.71,0
1.94,40.94,17.98,0
2.18,42.11,19.88,0
2.19,42.25,17.49,0
2.16,43.6,17.14,0
1.97,40.1,17.19,0
1.99,42.85,17.29,0
2.16,40.26,16.57,0
2.09,40.93,18.05,0
2.03,44.35,17.99,0
2.04,41.15,17.7,0
1.96,41.9,16.54,0
1.84,43.91,15.01,0
1.91,41.95,17.76,0
2.07,44.63,16.48,0
2,41.99,15.69,0
2.04,40.99,19.05,0
2.01,42.14,18.8,0
2.15,43.31,18.4,0
2.15,44.99,18.91,0
2.17,43.82,15.5,0
2,44.78,18.02,0
2.01,41.55,15.4,0
2.1,43.78,18.21,0
1.95,41.34,15.53,0
2.08,41.45,16.97,0
1.83,36.8,17.75,0
2.15,44.37,19.72,0
1.98,40.04,19.39,0
2.12,41.92,18.6,0
2.16,44.4,18.01,0
2.09,41.5,19.14,0
2.04,41.7,18.78,0
1.84,44.74,15.1,0
1.99,43.38,17.78,0
2.13,40.3,19.65,0
1.84,41.79,18.06,0
2.06,41.37,18.15,0
2.11,42.11,19.94,0
1.91,41.85,17.99,0
1.98,44.93,18.74,0
1.94,42.22,18.58,0
2.08,42.02,15.65,0
2.05,44.21,19.18,0
2.01,43.47,18.53,0
1.9,41.59,15.8,0
2.02,44.77,19.37,0
1.84,42.64,19.62,0
2.06,42.28,17.93,0
1.98,44.71,12.96,0
2.17,43.16,19.28,0
2.12,41.32,16.13,0
1.85,43.21,17.86,0
1.95,41.23,19.78,0
2,41.97,19.05,0
2.06,42.92,19,0
1.96,44.82,15.87,0
2.09,41.12,18.26,0
1.86,41.7,15.4,0
1.82,41.5,18.03,0
1.95,42.17,17.49,0
2.16,40.15,18.43,0
1.87,41.7,15.58,0
2.16,44.04,15.06,0
1.9,44.08,19.55,0
2.03,41.34,19.28,0
1.82,42.44,19.23,0
2.08,40.46,18.68,0
2.17,44.85,18.92,0
2.02,41.06,16.64,0
1.86,42.57,19.46,0
1.82,42.73,17.95,0
2.12,43.25,17.41,0
1.95,44.76,18.61,0
2.1,43.93,19.58,0
2.01,44.15,15.32,0
2.03,41.25,18.84,0
2.03,41.18,19.03,0
2.01,43.09,18.28,0
1.83,43.97,16.41,0
2.15,40.71,15.47,0
1.96,41.72,16.82,0
1.82,40.01,15.18,0
2.15,43.49,19.35,0
2.13,42.69,17.06,0
1.99,44.06,15.98,0
2.11,44.66,16.76,0
2.17,42.2,16.65,0
2.18,44.78,15.44,0
2.03,43.62,18.38,0
2.01,42.35,19.33,0
1.86,44.39,18.95,0
1.94,42.09,17.68,0
1.98,42.51,15.9,0
1.92,43.69,17.51,0
1.91,44.83,16.03,0
1.84,41.45,16.9,0
1.97,43.47,16.6,0
2.04,41.43,19.2,0
2.16,44.82,18.07,0
2.07,42.21,16.09,0
2.04,41.3,16.97,0
2.17,41.75,18.2,0
1.93,43.13,16.78,0
1.86,42.43,15.06,0
2.07,42.72,16.81,0
2.11,41.61,19.06,0
1.91,40.54,17.16,0
1.95,41.89,18.05,0
1.95,43.43,19.04,0
2.1,41.6,16.24,0
2.05,43.26,17.55,0
1.91,41.01,19.93,0
2.06,40.85,16.19,0
2.41,37.38,16.27,0
1.96,40.08,17.02,0
1.9,43.74,17.87,0
1.98,40.24,17.52,0
1.86,41.87,13.7,0
2.19,44.24,18.85,0
1.95,42.6,18.52,0
1.99,40.81,17.18,0
2.12,42.25,18.83,0
2.07,40.53,18.8,0
2.02,43.45,16.68,0
2.01,40.95,15.81,0
1.89,40.24,18.31,0
1.86,42.47,17.43,0
2.04,40.41,18.14,0
1.99,44.24,18.84,0
2.08,44.2,18.76,0
2.07,40.26,16.98,0
1.94,44.54,16.79,0
2.05,41.78,17.62,0
2.02,40.47,16.49,0
1.86,42.65,15.62,0
2.01,44.4,19.1,0
2.12,44.45,18.49,0
2.13,40.97,17.74,0
2.04,41.38,18.9,0
2.03,41.27,15.44,0
1.95,44.35,15.36,0
1.83,42.66,19.95,0
2.01,40.51,16.54,0
1.86,41.87,13.7,0
1.88,42.36,18.76,0
2.12,43.44,18.02,0
1.9,43.85,16.05,0
2.13,42.28,16.79,0
2.03,44.77,18.3,0
1.89,43.85,19.11,0
1.84,41.24,19.5,0
2.02,42.32,19.23,0
2.06,40.93,16.23,0
2.04,44.76,15.72,0
2.05,40.74,18.62,0
1.9,42.74,15.14,0
2.1,42.53,15.96,0
2.18,41.56,17.71,0
2.15,41.74,18.78,0
1.82,42.38,15.73,0
1.85,43.84,17.36,0
1.81,43.23,17.13,0
1.93,40.69,15.19,0
2,42.06,15.64,0
1.87,42.6,17.89,0
2.08,44.9,17.19,0
2.08,44.01,16.68,0
1.86,41.87,13.7,0
1.87,42.81,19.89,0
2.01,40.8,16.39,0
1.86,41.87,13.7,0
1.88,41.94,15.5,0
2.01,44.04,15.99,0
1.99,43.32,19.74,0
1.81,40.33,16.21,0
2.1,41.84,17.61,0
2.08,41.03,17.84,0
2.11,40.58,15.62,0
1.81,41.17,17.59,0
2.06,42.57,16.15,0
1.83,44.73,16.37,0
2.04,42.5,19.8,0
2.09,40.37,15.56,0
2.03,42.4,16.14,0
2.04,42.43,18.57,0
1.81,41.74,16.81,0
1.82,44.96,15.4,0
1.99,36.43,15.59,0
1.84,42.87,15.99,0
1.85,40.87,17.9,0
2.04,42.79,19.08,0
1.97,43.75,18.11,0
2.17,43.1,16.25,0
2.12,43.57,15.21,0
2.39,43.22,18.43,0
1.92,40.3,15.06,0
2.12,41.48,18.16,0
1.83,41.3,15.55,0
2.04,41.57,15.94,0
2.06,42.58,16.22,0
1.84,41.15,19.93,0
1.91,40.84,16.73,0
2.01,40.33,18.19,0
2.13,40.68,19.14,0
1.96,43.46,18.11,0
2.13,41.91,18.56,0
2.14,43.79,15.02,0
1.93,44.05,16.54,0
2.05,41.36,18.82,0
2.11,42.6,17.31,0
1.96,42.19,19.17,0
1.86,44.31,16.4,0
1.81,44.59,15.28,0
2.01,40.91,18.16,0
1.93,44.56,19.31,0
2.1,40.18,15.17,0
2.01,42.91,17.94,0
1.86,43.75,16.71,0
2.14,41.66,17.08,0
2.16,42.53,17.07,0
2.41,44.59,19.68,0
2.16,42.73,16.65,0
1.97,40.56,18.58,0
2.05,43.05,18.58,0
2.07,44.16,17.16,0
2.19,40.44,18.07,0
2,42.11,15.5,0
2.19,44.08,16.15,0
2.07,43.28,18.21,0
1.94,43.18,19.03,0
2.04,42.1,15.6,0
1.85,42.62,16.46,0
1.82,43.81,18.7,0
2.19,44.35,18.73,0
2.11,43.73,17.99,0
2.07,43.68,18.86,0
1.88,40.76,19.65,0
2,44.26,19.32,0
1.98,40.53,17.58,0
2.15,43.74,15.8,0
2.07,40.63,17.74,0
1.87,43.89,16.33,0
2,43.27,17.43,0
1.87,42.08,18.92,0
1.87,44.36,16.97,0
1.95,42.56,18.14,0
1.82,40.3,16.72,0
2.13,41.08,16.32,0
2.01,40.18,16.29,0
2.04,41.52,16.01,0
2.17,43.52,15.68,0
1.82,44.32,15.61,0
1.86,44.42,19.93,0
1.83,40.91,17.85,0
2.14,42.15,19.84,0
2.09,43.14,15.69,0
2.1,42.3,19.39,0
1.95,44.41,18.63,0
2.16,44.21,18.04,0
1.96,42.53,19.71,0
2.13,41.57,16.9,0
2.11,40.22,16.15,0
1.94,44.68,17.27,0
2.06,42.36,18.86,0
1.82,43.8,16.33,0
2.12,41.82,19.2,0
2.17,44.49,16.77,0
1.88,42.27,19.26,0
2.01,41.73,15.29,0
2.05,42.16,16.93,0
2,42.96,16.79,0
2.18,44.29,18.22,0
2.13,41.06,18.85,0
1.82,44.34,16.75,0
2.18,41.19,18.72,0
2.14,42.66,17.37,0
